ID,date,chamber,debate_num,crime,technologies,security,defence,geopolitics,energy,climate
ParlaMint-NL-en_2022-05-31-eerstekamer-12,2022-05-31,eerstekamer,12,0.14379072189331055,0.1419783979654312,0.14339154958724976,0.1428183764219284,0.14491766691207886,0.14114686846733093,0.1419563740491867
ParlaMint-NL-en_2022-05-31-eerstekamer-3,2022-05-31,eerstekamer,3,0.14383170008659363,0.14213748276233673,0.1369578093290329,0.14377358555793762,0.14580942690372467,0.14179754257202148,0.1456923931837082
ParlaMint-NL-en_2022-05-31-tweedekamer-32,2022-05-31,tweedekamer,32,0.1424461454153061,0.1444370001554489,0.14259037375450134,0.14161254465579987,0.145371213555336,0.1404067575931549,0.14313597977161407
ParlaMint-NL-en_2022-05-31-tweedekamer-33,2022-05-31,tweedekamer,33,0.14101508259773254,0.14501012861728668,0.1419062316417694,0.14335747063159943,0.1444016546010971,0.1412605345249176,0.14304891228675842
ParlaMint-NL-en_2022-05-31-tweedekamer-34,2022-05-31,tweedekamer,34,0.143523171544075,0.1421702802181244,0.1384190171957016,0.14390139281749725,0.14570072293281555,0.1433376669883728,0.1429477334022522
ParlaMint-NL-en_2022-05-31-tweedekamer-35,2022-05-31,tweedekamer,35,0.14331631362438202,0.14139041304588318,0.14164890348911285,0.1412806659936905,0.14677707850933075,0.14296703040599823,0.14261962473392487
ParlaMint-NL-en_2022-06-01-tweedekamer-10,2022-06-01,tweedekamer,10,0.14436191320419312,0.13921162486076355,0.1432129293680191,0.14328059554100037,0.144550621509552,0.14260272681713104,0.14277952909469604
ParlaMint-NL-en_2022-06-01-tweedekamer-2,2022-06-01,tweedekamer,2,0.14548876881599426,0.14075741171836853,0.14237511157989502,0.14567367732524872,0.13771390914916992,0.14280876517295837,0.1451822966337204
ParlaMint-NL-en_2022-06-01-tweedekamer-3,2022-06-01,tweedekamer,3,0.1456785649061203,0.13951876759529114,0.1520940512418747,0.14424166083335876,0.13957323133945465,0.13703201711177826,0.1418617069721222
ParlaMint-NL-en_2022-06-01-tweedekamer-4,2022-06-01,tweedekamer,4,0.1527661234140396,0.1375199556350708,0.14481477439403534,0.14345590770244598,0.1361849159002304,0.14223070442676544,0.14302757382392883
ParlaMint-NL-en_2022-06-01-tweedekamer-5,2022-06-01,tweedekamer,5,0.14184615015983582,0.14212948083877563,0.14226612448692322,0.14071112871170044,0.1461157351732254,0.14192315936088562,0.14500825107097626
